workload,impl,threads,size,run_i,elapsed_ms,notes
transform,openmp,2,80000000,0,295.113,A[0]=0.670735
transform,openmp,2,80000000,1,294.416,A[0]=0.670735
transform,openmp,2,80000000,2,292.691,A[0]=0.670735
transform,openmp,2,80000000,3,297.901,A[0]=0.670735
transform,openmp,2,80000000,4,304.249,A[0]=0.670735
transform,openmp,2,80000000,5,296.088,A[0]=0.670735
transform,openmp,2,80000000,6,292.688,A[0]=0.670735
transform,openmp,2,80000000,7,297.452,A[0]=0.670735
transform,openmp,2,80000000,8,297.522,A[0]=0.670735
transform,openmp,2,80000000,9,294.678,A[0]=0.670735
transform,threads,2,80000000,0,307.325,A[0]=0.670735
transform,threads,2,80000000,1,301.304,A[0]=0.670735
transform,threads,2,80000000,2,298.582,A[0]=0.670735
transform,threads,2,80000000,3,306.104,A[0]=0.670735
transform,threads,2,80000000,4,321.538,A[0]=0.670735
transform,threads,2,80000000,5,319.221,A[0]=0.670735
transform,threads,2,80000000,6,302.589,A[0]=0.670735
transform,threads,2,80000000,7,297.979,A[0]=0.670735
transform,threads,2,80000000,8,300.536,A[0]=0.670735
transform,threads,2,80000000,9,297.893,A[0]=0.670735
transform,openmp,4,80000000,0,146.373,A[0]=0.670735
transform,openmp,4,80000000,1,150.911,A[0]=0.670735
transform,openmp,4,80000000,2,151.623,A[0]=0.670735
transform,openmp,4,80000000,3,148.393,A[0]=0.670735
transform,openmp,4,80000000,4,146.964,A[0]=0.670735
transform,openmp,4,80000000,5,146.975,A[0]=0.670735
transform,openmp,4,80000000,6,146.300,A[0]=0.670735
transform,openmp,4,80000000,7,148.554,A[0]=0.670735
transform,openmp,4,80000000,8,150.458,A[0]=0.670735
transform,openmp,4,80000000,9,149.812,A[0]=0.670735
transform,threads,4,80000000,0,155.158,A[0]=0.670735
transform,threads,4,80000000,1,152.033,A[0]=0.670735
transform,threads,4,80000000,2,152.031,A[0]=0.670735
transform,threads,4,80000000,3,158.407,A[0]=0.670735
transform,threads,4,80000000,4,149.274,A[0]=0.670735
transform,threads,4,80000000,5,154.228,A[0]=0.670735
transform,threads,4,80000000,6,152.358,A[0]=0.670735
transform,threads,4,80000000,7,150.654,A[0]=0.670735
transform,threads,4,80000000,8,152.533,A[0]=0.670735
transform,threads,4,80000000,9,155.469,A[0]=0.670735
