position,temperature
0,100.000000
1,99.887162
2,99.774325
3,99.661487
4,99.548651
5,99.435815
6,99.322981
7,99.210148
8,99.097316
9,98.984486
10,98.871659
11,98.758833
12,98.646010
13,98.533190
14,98.420373
15,98.307559
16,98.194748
17,98.081941
18,97.969137
19,97.856338
20,97.743543
21,97.630753
22,97.517967
23,97.405186
24,97.292411
25,97.179640
26,97.066876
27,96.954117
28,96.841365
29,96.728618
30,96.615879
31,96.503146
32,96.390420
33,96.277701
34,96.164990
35,96.052286
36,95.939590
37,95.826903
38,95.714223
39,95.601553
40,95.488891
41,95.376238
42,95.263594
43,95.150960
44,95.038335
45,94.925721
46,94.813116
47,94.700522
48,94.587938
49,94.475366
50,94.362804
51,94.250253
52,94.137714
53,94.025187
54,93.912672
55,93.800169
56,93.687678
57,93.575199
58,93.462734
59,93.350282
60,93.237843
61,93.125417
62,93.013005
63,92.900607
64,92.788223
65,92.675854
66,92.563499
67,92.451159
68,92.338834
69,92.226524
70,92.114230
71,92.001952
72,91.889689
73,91.777443
74,91.665213
75,91.553000
76,91.440803
77,91.328624
78,91.216462
79,91.104317
80,90.992190
81,90.880081
82,90.767990
83,90.655918
84,90.543864
85,90.431829
86,90.319813
87,90.207816
88,90.095839
89,89.983881
90,89.871944
91,89.760026
92,89.648129
93,89.536252
94,89.424397
95,89.312562
96,89.200749
97,89.088957
98,88.977186
99,88.865438
100,88.753712
101,88.642008
102,88.530326
103,88.418668
104,88.307032
105,88.195420
106,88.083831
107,87.972266
108,87.860724
109,87.749207
110,87.637714
111,87.526245
112,87.414802
113,87.303383
114,87.191989
115,87.080621
116,86.969279
117,86.857962
118,86.746671
119,86.635407
120,86.524169
121,86.412957
122,86.301773
123,86.190616
124,86.079486
125,85.968384
126,85.857309
127,85.746262
128,85.635244
129,85.524254
130,85.413293
131,85.302360
132,85.191457
133,85.080583
134,84.969738
135,84.858923
136,84.748138
137,84.637383
138,84.526658
139,84.415964
140,84.305301
141,84.194669
142,84.084068
143,83.973498
144,83.862960
145,83.752454
146,83.641980
147,83.531538
148,83.421128
149,83.310752
150,83.200408
151,83.090097
152,82.979819
153,82.869575
154,82.759365
155,82.649189
156,82.539047
157,82.428939
158,82.318866
159,82.208827
160,82.098824
161,81.988856
162,81.878923
163,81.769025
164,81.659164
165,81.549339
166,81.439549
167,81.329797
168,81.220081
169,81.110401
170,81.000759
171,80.891154
172,80.781587
173,80.672057
174,80.562565
175,80.453112
176,80.343696
177,80.234319
178,80.124981
179,80.015682
180,79.906422
181,79.797201
182,79.688020
183,79.578878
184,79.469776
185,79.360715
186,79.251694
187,79.142713
188,79.033773
189,78.924874
190,78.816017
191,78.707200
192,78.598426
193,78.489693
194,78.381001
195,78.272352
196,78.163746
197,78.055182
198,77.946661
199,77.838182
200,77.729747
201,77.621356
202,77.513007
203,77.404703
204,77.296443
205,77.188226
206,77.080054
207,76.971927
208,76.863844
209,76.755807
210,76.647814
211,76.539867
212,76.431965
213,76.324110
214,76.216300
215,76.108536
216,76.000818
217,75.893147
218,75.785523
219,75.677946
220,75.570416
221,75.462933
222,75.355497
223,75.248110
224,75.140770
225,75.033478
226,74.926235
227,74.819039
228,74.711893
229,74.604796
230,74.497747
231,74.390748
232,74.283798
233,74.176898
234,74.070047
235,73.963247
236,73.856497
237,73.749797
238,73.643148
239,73.536549
240,73.430001
241,73.323505
242,73.217060
243,73.110666
244,73.004324
245,72.898034
246,72.791796
247,72.685610
248,72.579477
249,72.473396
250,72.367369
251,72.261394
252,72.155472
253,72.049604
254,71.943789
255,71.838028
256,71.732321
257,71.626668
258,71.521069
259,71.415525
260,71.310036
261,71.204601
262,71.099221
263,70.993897
264,70.888628
265,70.783414
266,70.678256
267,70.573154
268,70.468109
269,70.363119
270,70.258186
271,70.153310
272,70.048490
273,69.943728
274,69.839023
275,69.734375
276,69.629784
277,69.525252
278,69.420777
279,69.316360
280,69.212002
281,69.107701
282,69.003460
283,68.899277
284,68.795154
285,68.691089
286,68.587084
287,68.483138
288,68.379252
289,68.275425
290,68.171659
291,68.067953
292,67.964307
293,67.860722
294,67.757197
295,67.653733
296,67.550330
297,67.446989
298,67.343709
299,67.240490
300,67.137333
301,67.034238
302,66.931205
303,66.828234
304,66.725325
305,66.622479
306,66.519696
