position,temperature
399,89.246086
400,89.219213
401,89.192342
402,89.165471
403,89.138601
404,89.111731
405,89.084862
406,89.057993
407,89.031126
408,89.004258
409,88.977392
410,88.950526
411,88.923660
412,88.896795
413,88.869931
414,88.843067
415,88.816204
416,88.789342
417,88.762480
418,88.735619
419,88.708759
420,88.681899
421,88.655040
422,88.628181
423,88.601323
424,88.574466
425,88.547609
426,88.520753
427,88.493897
428,88.467043
429,88.440188
430,88.413335
431,88.386482
432,88.359630
433,88.332778
434,88.305927
435,88.279077
436,88.252227
437,88.225378
438,88.198530
439,88.171682
440,88.144835
441,88.117988
442,88.091143
443,88.064297
444,88.037453
445,88.010609
446,87.983766
447,87.956924
448,87.930082
449,87.903241
450,87.876400
451,87.849560
452,87.822721
453,87.795883
454,87.769045
455,87.742208
456,87.715372
457,87.688536
458,87.661701
459,87.634866
460,87.608033
461,87.581200
462,87.554367
463,87.527536
464,87.500705
465,87.473874
466,87.447045
467,87.420216
468,87.393388
469,87.366560
470,87.339733
471,87.312907
472,87.286082
473,87.259257
474,87.232433
475,87.205610
476,87.178787
477,87.151965
478,87.125144
479,87.098324
480,87.071504
481,87.044685
482,87.017867
483,86.991049
484,86.964232
485,86.937416
486,86.910600
487,86.883786
488,86.856972
489,86.830158
490,86.803346
491,86.776534
492,86.749723
493,86.722912
494,86.696103
495,86.669294
496,86.642486
497,86.615678
498,86.588871
499,86.562065
500,86.535260
501,86.508456
502,86.481652
503,86.454849
504,86.428046
505,86.401245
506,86.374444
507,86.347644
508,86.320845
509,86.294046
510,86.267248
511,86.240451
512,86.213655
513,86.186860
514,86.160065
515,86.133271
516,86.106478
517,86.079685
518,86.052893
519,86.026102
520,85.999312
521,85.972523
522,85.945734
523,85.918946
524,85.892159
525,85.865373
526,85.838587
527,85.811802
528,85.785018
529,85.758235
530,85.731453
531,85.704671
532,85.677890
533,85.651110
534,85.624331
535,85.597552
536,85.570775
537,85.543998
538,85.517222
539,85.490446
540,85.463672
541,85.436898
542,85.410125
543,85.383353
544,85.356581
545,85.329811
546,85.303041
547,85.276272
548,85.249504
549,85.222737
550,85.195970
551,85.169204
552,85.142439
553,85.115675
554,85.088912
555,85.062150
556,85.035388
557,85.008627
558,84.981867
559,84.955108
560,84.928350
561,84.901592
562,84.874835
563,84.848079
564,84.821324
565,84.794570
566,84.767817
567,84.741064
568,84.714312
569,84.687561
570,84.660811
571,84.634062
572,84.607314
573,84.580566
574,84.553819
575,84.527074
576,84.500329
577,84.473584
578,84.446841
579,84.420099
580,84.393357
581,84.366616
582,84.339876
583,84.313137
584,84.286399
585,84.259662
586,84.232925
587,84.206189
588,84.179455
589,84.152721
590,84.125988
591,84.099255
592,84.072524
593,84.045794
594,84.019064
595,83.992335
596,83.965607
597,83.938880
598,83.912154
599,83.885429
600,83.858705
601,83.831981
602,83.805259
603,83.778537
604,83.751816
605,83.725096
606,83.698377
607,83.671659
608,83.644942
609,83.618225
610,83.591510
611,83.564795
612,83.538082
613,83.511369
614,83.484657
615,83.457946
616,83.431236
617,83.404526
618,83.377818
619,83.351111
620,83.324404
621,83.297698
622,83.270994
623,83.244290
624,83.217587
